review_rank,keep_code,noise_code,category_code,confidence_code,note_code,company,symbol,event_date,primary_category,title,evidence_to_check,review_reason,suggested_action,relative_mv_return_p0_p20,abnormal_mv_impact_yi_p0_p20,overlap_event_count_p0_p20,split,default_model_scope,analysis_group_id
66,,,,,,高新兴,300098,2020-02-26,其他,监事会关于公司第二期股票期权激励计划激励对象名单的审核及公示情况说明,监事会关于公司第二期股票期权激励计划激励对象名单的审核及公示情况说明 || 监事会关于公司第二期股票期权激励计划激励对象名单的审核及公示情况说明 || 关于召开2020年第二次临时股东大会通知的提示性公告 || 关于变更持续督导财务顾问主办人的公告,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.324142886961113,44.089213497127695,9,train,audit_or_aux,300098|2020-02-26|其他
67,,,,,,高新兴,300098,2015-06-30,其他,关于召开2015年第三次临时股东大会通知的提示性公告,关于召开2015年第三次临时股东大会通知的提示性公告 || 关于召开2015年第三次临时股东大会通知的提示性公告,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.3156906256499065,42.61822653075999,15,train,audit_or_aux,300098|2015-06-30|其他
68,,,,,,高新兴,300098,2016-07-23,其他,独立董事候选人声明(吴向能),独立董事候选人声明(吴向能) || 独立董事候选人声明(吴向能) || 关于选举第四届职工代表监事的公告 || 独立董事对相关事项的独立意见 || 公司章程(2016年7月) || 独立董事候选人声明(叶伟明) || 独立董事候选人声明(毛真福),top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.2973897754068334,-49.99000860252299,5,train,audit_or_aux,300098|2016-07-23|其他
69,,,,,,高新兴,300098,2015-06-17,其他,股东大会议事规则(2015年6月),股东大会议事规则(2015年6月) || 股东大会议事规则(2015年6月) || 股东大会网络投票实施细则(2015年6月) || 第三届董事会第二十二次会议决议的公告 || 《股东大会议事规则》修订对照表 || 《公司章程》修订对照表 || 《股东大会网络投票实施细则》修订对照表,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.2619265502709211,87.50985259967999,19,train,audit_or_aux,300098|2015-06-17|其他
70,,,,,,高新兴,300098,2017-04-14,其他,2017年第四次临时股东大会的法律意见书,2017年第四次临时股东大会的法律意见书 || 2017年第四次临时股东大会的法律意见书,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.4030918073217803,-32.35292137171333,16,train,audit_or_aux,300098|2017-04-14|其他
71,,,,,,广和通,300638,2020-07-06,其他,关于使用暂时闲置的募集资金进行现金管理的进展公告(2020/07/06),关于使用暂时闲置的募集资金进行现金管理的进展公告(2020/07/06) || 关于使用暂时闲置的募集资金进行现金管理的进展公告(2020/07/06),extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.3180427803770239,40.548867943175466,14,train,audit_or_aux,300638|2020-07-06|其他
72,,,,,,高新兴,300098,2016-07-22,其他,关于使用部分暂时闲置募集资金进行现金管理的实施公告,关于使用部分暂时闲置募集资金进行现金管理的实施公告 || 关于使用部分暂时闲置募集资金进行现金管理的实施公告,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.2850867060002014,-49.801054244673,6,train,audit_or_aux,300098|2016-07-22|其他
73,,,,,,高新兴,300098,2020-02-12,其他,关于为全资子公司申请银行授信提供担保的进展公告,关于为全资子公司申请银行授信提供担保的进展公告 || 关于为全资子公司申请银行授信提供担保的进展公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.4176885191005448,28.67111094787501,13,train,audit_or_aux,300098|2020-02-12|其他
74,,,,,,高新兴,300098,2024-05-18,其他,关于控股子公司进入创新层的提示性公告,关于控股子公司进入创新层的提示性公告 || 关于控股子公司进入创新层的提示性公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.5018591598753933,24.7113698569845,7,test,audit_or_aux,300098|2024-05-18|其他
75,,,,,,移为通信,300590,2019-10-28,其他,第二届董事会第二十次会议决议公告,第二届董事会第二十次会议决议公告 || 第二届董事会第二十次会议决议公告 || 第二届监事会第十九次会议决议公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.1924877413403136,9.954742281119998,8,train,audit_or_aux,300590|2019-10-28|其他
76,,,,,,高新兴,300098,2021-07-09,其他,高新兴科技集团股份有限公司章程修正案(2021年7月),高新兴科技集团股份有限公司章程修正案(2021年7月) || 高新兴科技集团股份有限公司章程修正案(2021年7月) || 第五届监事会第十七次会议决议的公告 || 关于向特定对象发行股票预案修订情况说明的公告 || 独立董事对相关事项发表的独立意见 || 高新兴科技集团股份有限公司章程(2021年7月修订) || 关于向特定对象发行股票摊薄即期回报、填补措施及相关主体承诺(修订稿)的公告,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.3151394280104802,-36.12972454399975,15,train,audit_or_aux,300098|2021-07-09|其他
77,,,,,,移远通信,603236,2025-01-23,其他,关于控股股东权益变动的提示性公告,关于控股股东权益变动的提示性公告 || 关于控股股东权益变动的提示性公告 || 简式权益变动报告书(钱鹏鹤),top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.2724917736524432,-58.51404228139989,3,test,audit_or_aux,603236|2025-01-23|其他
78,,,,,,广和通,300638,2021-06-05,其他,第二届监事会第二十九次会议决议公告,第二届监事会第二十九次会议决议公告 || 第二届监事会第二十九次会议决议公告 || 第二届董事会第三十四次会议决议公告 || 深圳市广和通无线股份有限公司独立董事候选人声明(叶卫平) || 广发证券股份有限公司关于深圳市广和通无线股份有限公司为参股公司提供财务资助的核查意见 || 关于召开2021年第二次临时股东大会的通知 || 深圳市广和通无线股份有限公司独立董事候选人声明(张学斌),extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.2951495966957997,42.730571621628485,16,train,audit_or_aux,300638|2021-06-05|其他
79,,,,,,移远通信,603236,2020-04-15,其他,:移远通信关于公司2019年度利润分配及资本公积金转增股本方案的公告,:移远通信关于公司2019年度利润分配及资本公积金转增股本方案的公告 || :移远通信关于公司2019年度利润分配及资本公积金转增股本方案的公告 || :移远通信第二届监事会第九次会议决议公告 || :移远通信关于公司监事辞职及补选监事的公告 || :移远通信董事会审计委员会2019年度履职情况报告 || :移远通信关于公司2020年度开展外汇套期保值业务的公告 || :移远通信:2019年年度审计报告,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.3085723865513713,38.143737921744005,14,train,audit_or_aux,603236|2020-04-15|其他
80,,,,,,日海智能,2313,2013-05-18,其他,日海通讯:简式权益变动报告书(2013-5-18),日海通讯:简式权益变动报告书(2013-5-18) || 日海通讯:简式权益变动报告书(2013-5-18),top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.445297134890698,-26.16457826645,8,train,audit_or_aux,002313|2013-05-18|其他
81,,,,,,日海智能,2313,2013-05-17,其他,日海通讯:第二届监事会第二十三次会议决议公告,日海通讯:第二届监事会第二十三次会议决议公告 || 日海通讯:第二届监事会第二十三次会议决议公告 || 日海通讯:第二届董事会第三十八次会议决议公告 || 日海通讯:独立董事对相关事项发表的独立意见(2013-5-17) || 日海通讯:减资公告(2013-5-17) || 日海通讯:公司章程(2013年5月),top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.4646245980815973,-24.95982527103,9,train,audit_or_aux,002313|2013-05-17|其他
82,,,,,,移远通信,603236,2019-09-17,其他,:移远通信2019年第三次临时股东大会的法律意见书,:移远通信2019年第三次临时股东大会的法律意见书 || :移远通信2019年第三次临时股东大会的法律意见书 || :移远通信2019年第三次临时股东大会决议公告,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.2761489751052437,46.163983052096,3,train,audit_or_aux,603236|2019-09-17|其他
83,,,,,,高新兴,300098,2015-07-01,其他,关于收到《中国证监会行政许可申请受理通知书》的公告,关于收到《中国证监会行政许可申请受理通知书》的公告 || 关于收到《中国证监会行政许可申请受理通知书》的公告,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.2915243951534591,41.42353798557,14,train,audit_or_aux,300098|2015-07-01|其他
84,,,,,,高新兴,300098,2017-04-15,其他,关于使用部分暂时闲置自有资金进行现金管理的实施公告,关于使用部分暂时闲置自有资金进行现金管理的实施公告 || 关于使用部分暂时闲置自有资金进行现金管理的实施公告,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.349574992544779,-29.589880785673333,13,train,audit_or_aux,300098|2017-04-15|其他
85,,,,,,高新兴,300098,2020-01-11,其他,关于为全资子公司申请银行授信提供担保的公告,关于为全资子公司申请银行授信提供担保的公告 || 关于为全资子公司申请银行授信提供担保的公告 || 第五届董事会第二次会议决议的公告 || 独立董事对相关事项发表的独立意见,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.2573023733623112,-56.75466269624808,11,train,audit_or_aux,300098|2020-01-11|其他
86,,,,,,日海智能,2313,2012-08-10,其他,日海通讯：第二届董事会第二十四次会议决议公告,日海通讯：第二届董事会第二十四次会议决议公告 || 日海通讯：第二届董事会第二十四次会议决议公告 || 日海通讯：2012年上半年财务报告 || 日海通讯：关于在武汉设立分公司的公告 || 日海通讯：独立董事对相关事项发表的独立意见,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.4404202034796217,-24.23736,3,train,audit_or_aux,002313|2012-08-10|其他
87,,,,,,移远通信,603236,2021-04-20,其他,:关于召开2020年年度股东大会的通知,:关于召开2020年年度股东大会的通知 || :关于召开2020年年度股东大会的通知 || :第二届董事会第二十五次会议决议公告 || :2020年度独立董事述职报告 || :独立董事工作制度(2021年4月修订) || :关于公司为子公司提供2021年度对外担保预计的公告 || :独立董事关于第二届董事会第二十五次会议相关事项的独立意见,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.2511496207341384,-78.64366388826662,18,train,audit_or_aux,603236|2021-04-20|其他
88,,,,,,高新兴,300098,2024-05-31,其他,关于召开2024年第一次临时股东大会通知的提示性公告,关于召开2024年第一次临时股东大会通知的提示性公告 || 关于召开2024年第一次临时股东大会通知的提示性公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.4684719546235618,22.984092824431823,7,test,audit_or_aux,300098|2024-05-31|其他
89,,,,,,广和通,300638,2020-10-20,其他,关于部分募集资金专项账户销户完成的公告,关于部分募集资金专项账户销户完成的公告 || 关于部分募集资金专项账户销户完成的公告,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.2698671915206614,-44.03660940435762,8,train,audit_or_aux,300638|2020-10-20|其他
90,,,,,,移为通信,300590,2017-04-19,其他,关于召开2016年年度股东大会通知的更正公告,关于召开2016年年度股东大会通知的更正公告 || 关于召开2016年年度股东大会通知的更正公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,-0.2305551060066504,-7.395985600000001,7,train,audit_or_aux,300590|2017-04-19|其他
91,,,,,,高新兴,300098,2016-12-08,其他,关于召开2016年第六次临时股东大会的提示性公告,关于召开2016年第六次临时股东大会的提示性公告 || 关于召开2016年第六次临时股东大会的提示性公告,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.256932522788768,-45.72719138223,46,train,audit_or_aux,300098|2016-12-08|其他
92,,,,,,高新兴,300098,2017-01-18,其他,关于收到PPP项目成交通知书的公告(2017/1/18),关于收到PPP项目成交通知书的公告(2017/1/18) || 关于收到PPP项目成交通知书的公告(2017/1/18),top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.256932522788768,-45.72719138223,46,train,audit_or_aux,300098|2017-01-18|其他
93,,,,,,高新兴,300098,2017-01-14,其他,关于使用部分暂时闲置自有资金进行现金管理的实施公告,关于使用部分暂时闲置自有资金进行现金管理的实施公告 || 关于使用部分暂时闲置自有资金进行现金管理的实施公告,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.256932522788768,-45.72719138223,46,train,audit_or_aux,300098|2017-01-14|其他
94,,,,,,高新兴,300098,2017-01-13,其他,关于收到PPP项目成交通知书的公告(2017/1/13),关于收到PPP项目成交通知书的公告(2017/1/13) || 关于收到PPP项目成交通知书的公告(2017/1/13),top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.256932522788768,-45.72719138223,46,train,audit_or_aux,300098|2017-01-13|其他
95,,,,,,高新兴,300098,2017-01-06,其他,关于召开2017年第一次临时股东大会的提示性公告,关于召开2017年第一次临时股东大会的提示性公告 || 关于召开2017年第一次临时股东大会的提示性公告,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.256932522788768,-45.72719138223,46,train,audit_or_aux,300098|2017-01-06|其他
96,,,,,,高新兴,300098,2016-11-17,其他,广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易限售股份上市流通事项的核查意见,广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易限售股份上市流通事项的核查意见 || 广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易限售股份上市流通事项的核查意见 || 关于重大事项停牌公告,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.256932522788768,-45.72719138223,46,train,audit_or_aux,300098|2016-11-17|其他
97,,,,,,高新兴,300098,2016-12-13,其他,2016年第六次临时股东大会决议公告,2016年第六次临时股东大会决议公告 || 2016年第六次临时股东大会决议公告 || 2016年第六次临时股东大会的法律意见书,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.256932522788768,-45.72719138223,46,train,audit_or_aux,300098|2016-12-13|其他
98,,,,,,高新兴,300098,2017-01-21,其他,第四届董事会第七次会议决议的公告,第四届董事会第七次会议决议的公告 || 第四届董事会第七次会议决议的公告 || 独立董事关于发行股份与支付现金购买资产并募集配套资金的独立意见,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.256932522788768,-45.72719138223,46,train,audit_or_aux,300098|2017-01-21|其他
99,,,,,,高新兴,300098,2016-12-01,其他,关于受让深圳市中兴物联科技有限公司11.43%股权的公告,关于受让深圳市中兴物联科技有限公司11.43%股权的公告 || 关于受让深圳市中兴物联科技有限公司11.43%股权的公告,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.256932522788768,-45.72719138223,46,train,audit_or_aux,300098|2016-12-01|其他
100,,,,,,高新兴,300098,2016-12-27,其他,关于PPP项目预成交的提示性公告,关于PPP项目预成交的提示性公告 || 关于PPP项目预成交的提示性公告 || 独立董事公开征集委托投票权报告书 || 关于召开2017年第一次临时股东大会的通知 || 第四届董事会第五次会议决议的公告 || 第四届监事会第五次会议决议的公告,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.256932522788768,-45.72719138223,46,train,audit_or_aux,300098|2016-12-27|其他
